query,query_id,query_type,first_answer,passage_text
what is rba,19699,description,"Results-Based Accountability is a disciplined way of thinking and taking action that communities can use to improve the lives of children, youth, families, adults and the community as a whole.","Results-Based Accountability® (also known as RBA) is a disciplined way of thinking and taking action that communities can use to improve the lives of children, youth, families, adults and the community as a whole. RBA is also used by organizations to improve the performance of their programs. Creating Community Impact with RBA. Community impact focuses on conditions of well-being for children, families and the community as a whole that a group of leaders is working collectively to improve. For example: “Residents with good jobs,” “Children ready for school,” or “A safe and clean neighborhood”."
was ronald reagan a democrat,19700,description,Yes,"From Wikipedia, the free encyclopedia. A Reagan Democrat is a traditionally Democratic voter in the United States, especially a white working-class Northerner, who defected from their party to support Republican President Ronald Reagan in either or both the 1980 and 1984 elections. During the 1980 election a dramatic number of voters in the U.S., disillusioned with the economic 'malaise' of the 1970s and the presidency of Jimmy Carter (even more than, four years earlier, Liberal Republican Gerald Ford), supported former California governor (and former Democrat) Ronald Reagan."
how long do you need for sydney and surrounding areas,19701,numeric,20-25 minutes,"Sydney is the capital city of the Australian state of New South Wales, and Australia's largest city. A week in Sydney will help you see many of the sights of Sydney and its surrounds, and understand the city and its culture. If you're up for exploring the area by bike (one of the best ways to do so as much of it is parkland), take the train to Concord West station on the Northern Line (red line on the Sydney Trains map-about 20-25 minutes from the city on a direct train)."
price to install tile in shower,19702,numeric,$11 to $22 per square foot,1 Install ceramic tile floor to match shower-Average prices for installation are between $11 to $22 per square foot; 2  A light/fan combination-Averages at $180 and one hour of installation; 3  Insulate and re-finish ceilings and walls-Fiberglass wall insulation with R-30 value will cost $2.25 per square foot.
why conversion observed in body,19703,description,Due to symptoms in the body,"Conversion disorder is a type of somatoform disorder where physical symptoms or signs are present that cannot be explained by a medical condition. Very importantly, unlike factitious disorders and malingering, the symptoms of somatoform disorders are not intentional or under conscious control of the patient."
where are the lungs located in the back,19704,location,Inside the rib cage.,1. Get help from a doctor now ›. under ribs: The lungs in the front and back are inside the rib cage. This is why doctors will place a stethoscope on the back as well as the front to evaluate the function of the lungs. ...Read more. 1 Where are your kidneys located on your back in women. 2  Where are the lungs located in the back. 3  Where are lungs located in your body. 4  Ask a doctor a question free online. 5  Where are the lungs located in the human body.
cost to get a patent,19705,numeric,"The most expensive patents are international patents, which can run up to $100,000 or higher.Domestically the costs can be $10,000 or above.","The cost of a patent can vary widely depending on, not only the complexity of the invention, but also the intended market. The most expensive patents are international patents, which can run up to $100,000 or higher. Domestically the costs can be $10,000 or above. Patent applications involve lots of text and drawings, even for simpler inventions. The first step in the patent application process is to file a non provisional patent application, which involves paying attorney fees in the range of $5000 to $15,000 or more, depending on the intricacies of the invention. The amount you spend on a patent application will also depend on the market opportunities"
what does a metabolic acidosis need to reverse the condition,19706,description,,
best tragedies of ancient greece,19707,entity,"Sophocles, Aeschylus and Euripides","by Mark Cartwright. Greek tragedy was a popular and influential form of drama performed in theatres across ancient Greece from the late 6th century BCE. The most famous playwrights of the genre were Aeschylus, Sophocles, and Euripides and many of their works were still performed centuries after their initial premiere. Greek tragedy led to Greek comedy and, together, these genres formed the foundation upon which all modern theatre is based. In the Roman world, tragedy plays were translated and imitated in Latin, and the genre gave rise to a new art form from the 1st century BCE, pantomime, which drew inspiration from the presentation and subject matter of Greek tragedy."
what is a conifer,19708,description,A tree or shrub which produces distinctive cones as part of its sexual reproduction.,"A conifer is a tree or shrub which produces distinctive cones as part of its sexual reproduction. These woody plants are classified among the gymnosperms, and they have a wide variety of uses, from trapping carbon in the environment to providing resins which can be used in the production of solvents. Several features beyond the cones set conifers apart from other types of woody plants. A conifer is typically evergreen, although some individuals are deciduous, and almost all conifers have needle or scale-like leaves."
in animals somatic cells are produced by and gametic cells are produced by,19709,entity,Somatic cells are produced by mitosis and gametes produced by most organisms combine to form a zygote with n pairs of chromosomes.,"In animals, somatic cells are produced by mitosis and ________ are produced by meiosis. After telophase I of meiosis, the chromosomal makeup of each daughter cell is. A) diploid, and the chromosomes are composed of a single chromatid. B) diploid, and the chromosomes are composed of two chromatids. C) ha"
remembering the name of the author who wrote the cat in the hat,19710,person,Dr. Seuss,"The Cat in the Hat is a children's book by Dr. Seuss, featuring a tall, anthropomorphic, mischievous cat, wearing a tall, red and white striped hat. With the series of Beginner Books that The Cat inaugurated, Seuss promoted both his name and the cause of elementary literacy in the United States. "
how long cooking chicken legs in the big easy,19711,numeric,45 minutes to an hour,"Directions. 1  Arrange chicken thighs/leg quarters skin side up in a shallow baking dish. 2  Sprinkle with garlic powder. 3  Drizzle about 1/2 teaspoon soy sauce on each piece. 4  Bake at 350 degrees Fahrenheit for 45 minutes to an hour, until the skin is crisp and brown and the meat is ready to fall off the bones."
average cost of heating per square foot,19712,numeric,$6-$16 a square foot,"1 Expect to pay about $6-$16 a square foot for a professionally installed hydronic (hot water) radiant floor heating system, or $9,000-$22,500 or more for a 1,500 square foot home, depending on local rates, the number of temperature zones and the overall size of the system."
is mount pinatubo made of granite or basalt,19713,description,Granite.,"Mount Pinatubo is a volcano on the island of Luzon in the  Philippines. It is best known for its enormous eruption on June 15,  1991. This eruption was the second largest of … the twentieth  century. 1 person found this useful. Similar to many other volcanoes it has a large assortment or rocks, a lot of granite as these rocks are carried out from the magma chamber. … There are other rocks such as basalt, Scoria, sandstone, mudstone, shale, limestone, quartize, hornfels, slate and marble. 4 people"
concrete pads cost,19714,numeric,$4.64 - $6.36,"Get an INSTANT estimate of the cost to Install a Concrete Pad! Our free calculator uses recent, trusted data to estimate costs for your Concrete Pad Installation project. For a basic 120 square feet project in zip code 47474, the benchmark cost to Install a Concrete Pad ranges between $4.64 - $6.36 per square foot* . To estimate costs for your project: 1."
